system:time_start,LST_Day_1km
"May 1, 2022",22.539
"May 1, 2022",25.721
"May 2, 2022",23.778
"May 2, 2022",22.77
"May 3, 2022",
"May 3, 2022",
"May 4, 2022",27.31
"May 4, 2022",17.831
"May 5, 2022",20.948
"May 5, 2022",21.169
"May 6, 2022",23.084
"May 6, 2022",23.835
"May 7, 2022",16.19
"May 7, 2022",
"May 8, 2022",22.526
"May 8, 2022",20.355
"May 9, 2022",23.792
"May 9, 2022",21.125
"May 10, 2022",
"May 10, 2022",
"May 11, 2022",31.766
"May 11, 2022",28.483
"May 12, 2022",34.407
"May 12, 2022",35.601
"May 13, 2022",40.624
"May 13, 2022",36.351
"May 14, 2022",31.44
"May 14, 2022",31.189
"May 15, 2022",
"May 15, 2022",
"May 16, 2022",35.848
"May 16, 2022",27.548
"May 17, 2022",35.293
"May 17, 2022",36.156
"May 18, 2022",
"May 18, 2022",
"May 19, 2022",29.213
"May 19, 2022",30.58
"May 20, 2022",36.705
"May 20, 2022",29.818
"May 21, 2022",35.48
"May 21, 2022",33.334
"May 22, 2022",34.92
"May 22, 2022",32.269
"May 23, 2022",32.74
"May 23, 2022",24.351
"May 24, 2022",30.485
"May 24, 2022",28.489
"May 25, 2022",32.698
"May 25, 2022",28.784
"May 26, 2022",35.734
"May 26, 2022",35.613
"May 27, 2022",35.95
"May 27, 2022",28.606
"May 28, 2022",28.409
"May 28, 2022",35.599
"May 29, 2022",25.814
"May 29, 2022",21.167
"May 30, 2022",24.913
"May 30, 2022",
"May 31, 2022",34.439
"May 31, 2022",34.488
"Jun 1, 2022",35.208
"Jun 1, 2022",32.793
"Jun 2, 2022",38.301
"Jun 2, 2022",37.791
"Jun 3, 2022",34.869
"Jun 3, 2022",31.793
"Jun 4, 2022",30.891
"Jun 4, 2022",36.67
"Jun 5, 2022",39.754
"Jun 5, 2022",34.025
"Jun 6, 2022",28.638
"Jun 6, 2022",29.782
"Jun 7, 2022",32.768
"Jun 7, 2022",30.719
"Jun 8, 2022",30.662
"Jun 8, 2022",26.102
"Jun 9, 2022",31.398
"Jun 9, 2022",
"Jun 10, 2022",32.709
"Jun 10, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 12, 2022",33.347
"Jun 12, 2022",
"Jun 13, 2022",32.024
"Jun 13, 2022",35.831
"Jun 14, 2022",35.658
"Jun 14, 2022",33.622
"Jun 15, 2022",31.099
"Jun 15, 2022",
"Jun 16, 2022",32.635
"Jun 16, 2022",31.186
"Jun 17, 2022",36.414
"Jun 17, 2022",31.343
"Jun 18, 2022",28.936
"Jun 18, 2022",32.035
"Jun 19, 2022",37.363
"Jun 19, 2022",31.947
"Jun 20, 2022",31.214
"Jun 20, 2022",37.772
"Jun 21, 2022",37.737
"Jun 21, 2022",37.893
"Jun 22, 2022",36.235
"Jun 22, 2022",36.628
"Jun 23, 2022",
"Jun 23, 2022",
"Jun 24, 2022",38.175
"Jun 24, 2022",36.166
"Jun 25, 2022",35.519
"Jun 25, 2022",37.444
"Jun 26, 2022",
"Jun 26, 2022",
"Jun 27, 2022",35.279
"Jun 27, 2022",36.294
"Jun 28, 2022",
"Jun 28, 2022",
"Jun 29, 2022",39.354
"Jun 29, 2022",41.209
"Jun 30, 2022",44.416
"Jun 30, 2022",39.769
"Jul 1, 2022",41.047
"Jul 1, 2022",37.047
"Jul 2, 2022",39.303
"Jul 2, 2022",39.624
"Jul 3, 2022",40.298
"Jul 3, 2022",
"Jul 4, 2022",37.703
"Jul 4, 2022",39.193
"Jul 5, 2022",41.876
"Jul 5, 2022",37.696
"Jul 6, 2022",
"Jul 6, 2022",38.018
"Jul 7, 2022",
"Jul 7, 2022",
"Jul 8, 2022",31.14
"Jul 8, 2022",34.557
"Jul 9, 2022",
"Jul 9, 2022",32.276
"Jul 10, 2022",
"Jul 10, 2022",
"Jul 11, 2022",32.729
"Jul 11, 2022",32.878
"Jul 12, 2022",35.752
"Jul 12, 2022",31.448
"Jul 13, 2022",36.36
"Jul 13, 2022",36.156
"Jul 14, 2022",43.72
"Jul 14, 2022",37.526
"Jul 15, 2022",40.147
"Jul 15, 2022",41.81
"Jul 16, 2022",43.188
"Jul 16, 2022",38.596
"Jul 17, 2022",37.189
"Jul 17, 2022",38.242
"Jul 18, 2022",37.243
"Jul 18, 2022",33.994
"Jul 19, 2022",42.001
"Jul 19, 2022",36.568
"Jul 20, 2022",39.766
"Jul 20, 2022",39.746
"Jul 21, 2022",41.139
"Jul 21, 2022",36.707
"Jul 22, 2022",40.824
"Jul 22, 2022",41.242
"Jul 23, 2022",45.676
"Jul 23, 2022",40.323
"Jul 24, 2022",44.955
"Jul 24, 2022",37.325
"Jul 25, 2022",39.524
"Jul 25, 2022",36.845
"Jul 26, 2022",41.953
"Jul 26, 2022",37.322
"Jul 27, 2022",41.136
"Jul 27, 2022",39.956
"Jul 28, 2022",38.568
"Jul 28, 2022",
"Jul 29, 2022",40.002
"Jul 29, 2022",38.738
"Jul 30, 2022",43.669
"Jul 30, 2022",37.429
"Jul 31, 2022",
"Jul 31, 2022",
"Aug 1, 2022",37.356
"Aug 1, 2022",
"Aug 2, 2022",38.759
"Aug 2, 2022",
"Aug 3, 2022",37.133
"Aug 3, 2022",36.463
"Aug 4, 2022",40.542
